gene,t_stat,p_value,log2FC,p_adj
ALOX5,11.280943201793185,1.768402928026905e-27,0.6870842493386302,6.55624846685053e-27
MCPH1,11.196586462849565,1.808790426576348e-27,0.3204668505291046,6.704368367355809e-27
SLC5A1,11.266408151370328,1.8160290082822602e-27,1.8590024523809454,6.72957849350709e-27
C16orf91,-11.344263270349158,1.8339877707729424e-27,-0.46784238161375846,6.794492229689844e-27
FNBP1,11.162598339651247,1.8501492737851856e-27,0.3478006825396882,6.852717913993385e-27
IRAK1,-11.18992216006294,1.8519010893438013e-27,-0.43521973412698145,6.85755677552345e-27
PRCP,11.185730083267552,1.877061895248609e-27,0.3868177559523893,6.949055542472428e-27
TUBB2C,-11.318956223172778,1.8936571309874947e-27,-0.45526092195767376,7.008807414859245e-27
BUD31,-11.2556894357428,1.8963741345525247e-27,-0.3545094087301486,7.017176772339635e-27
EVI5,11.276368955350588,1.907271209731219e-27,0.35769209722222506,7.055803655990288e-27
CYP8B1,11.264511208742718,1.9962390335367403e-27,0.902849650132272,7.383159356080998e-27
KATNAL1,11.335384952047994,2.0395236376632252e-27,0.4957444867724803,7.541437427737915e-27
MXD3,-11.369877332610146,2.0437679466235932e-27,-0.6492594980158746,7.555316944577062e-27
PFN1,-11.340001319882322,2.0530370308702325e-27,-0.4149977678571304,7.587760721149536e-27
DMRT1,-11.117891841009818,2.0672568074548255e-27,-0.6721077281746033,7.638481656919114e-27
RFPL1S,11.182238495917181,2.1044086733328363e-27,0.7567846944444425,7.773891637069501e-27
ZSCAN18,11.121943495731747,2.1883518921268242e-27,0.6291218214285674,8.082047033599595e-27
ST7OT1,11.283115628069895,2.192771166883461e-27,0.6444928201058149,8.096426296523897e-27
MFSD4,11.205599601473399,2.215475103823325e-27,0.9062223505291058,8.178295414425255e-27
RAD51C,-11.125786238866185,2.2778674778252435e-27,-0.3997079067460305,8.406597688416893e-27
CD247,11.214575871462467,2.316793905164812e-27,0.9848948379629565,8.548208904342825e-27
B4GALT3,-11.370336158042509,2.322844334256723e-27,-0.47959908002645335,8.568479687242638e-27
PRKG1,11.20681417074546,2.3846732236795445e-27,0.99234061640212,8.794446377244059e-27
C16orf45,11.104938874441709,2.4789492407347395e-27,0.7988673948412721,9.139938088982946e-27
SLC24A1,11.131033566662596,2.4946271477608332e-27,0.39090347156084704,9.195540865231877e-27
PCDH12,11.290735830322875,2.5604908858936964e-27,0.5308753009259313,9.436064664936631e-27
TMEM55A,11.18440690800892,2.562001135903591e-27,0.5814160145502667,9.439371019264798e-27
PCBP3,11.187334649535439,2.5836275298883025e-27,1.0245905277777818,9.516773463562248e-27
LOC283922,11.265567832564406,2.672454353274721e-27,0.6631397764550302,9.841611977366868e-27
DKFZp566F0947,11.380498552213682,2.706768663039212e-27,0.5924064940476175,9.965594716598457e-27
HHIPL2,-11.18301810308431,2.7079564294252183e-27,-1.3789506111111187,9.967584304054526e-27
ACER2,11.198427626902548,2.7119007520038728e-27,0.8638447076719462,9.979716988193984e-27
BCL2,11.088421340239076,2.8073604037014357e-27,0.7688119232804098,1.0328537188958425e-26
NDUFA7,-11.240365060523725,2.863216169186225e-27,-0.5017547347883422,1.0531519196598258e-26
SGCB,11.242745488049119,2.8912961329704636e-27,0.5415738796296381,1.0632263329196616e-26
FOXC2,11.148808385612949,2.894886360855335e-27,0.8963635277777766,1.0642923901167524e-26
RNF181,-11.188859409034224,3.028439804073828e-27,-0.3560737017195823,1.1131269435026194e-26
LOC100132354,-11.11908006679911,3.0641116305938217e-27,-0.7111965291005292,1.1259696127984027e-26
MLST8,-11.328572725810792,3.0959641280602154e-27,-0.4225975813491978,1.1374029988008384e-26
MANEAL,-11.199594191487186,3.1536783841116638e-27,-0.73234288161375,1.1583298206146776e-26
FAT1,11.168366073601458,3.188344087765387e-27,0.8459716620370479,1.1707830650923842e-26
ALPK3,11.453353690141162,3.210645217867418e-27,0.8185765694444473,1.1786910925013027e-26
MPZ,11.245048702480316,3.2219034762964562e-27,1.064304653439152,1.1825422604180343e-26
SESN3,11.157523821718106,3.2262411793506127e-27,1.0285584517195812,1.1838521315171922e-26
SLC18A2,11.315565689304602,3.237774898124269e-27,1.2540043703703674,1.1878012891689153e-26
TCF15,11.267472374384502,3.2410437371183034e-27,0.9728808511904794,1.1887172563223087e-26
PHOSPHO1,11.18991369900266,3.329260222849935e-27,0.7410238935185212,1.2207816063639068e-26
ACAD8,11.197080246691954,3.474690202966651e-27,0.3832757625661358,1.2738048822637506e-26
MEF2A,11.140044437658696,3.585449792397929e-27,0.4056368670634818,1.3140959403368465e-26
SLC23A2,11.22087385510244,3.682152702384479e-27,0.4656417394179968,1.3492171622706764e-26
ACSS2,11.46808106543556,3.771938785592499e-27,0.6123624417989433,1.3817878058950202e-26
PLD4,11.237148613839544,3.792009846244929e-27,1.132893462962965,1.3888100761806177e-26
PLLP,11.171703640608028,3.849734473778483e-27,0.8031793816137656,1.4096162114807917e-26
ZNF672,-11.2447328840743,3.9196292123497515e-27,-0.3670736798941743,1.4348675934985524e-26
SIK1,11.219981468157927,4.012596155094048e-27,0.775989680555563,1.468551057760472e-26
RBX1,-11.19716996287305,4.2522540364746966e-27,-0.3750363710317348,1.5558924762262572e-26
GRB2,-11.115849185044972,4.3175099782165e-27,-0.33578634259258777,1.5793941823378343e-26
C19orf12,11.32908821721834,4.5312430423857165e-27,0.5029911554232775,1.6571864399908047e-26
COX6B1,-11.160217325830597,4.8117146691197945e-27,-0.4048409609788557,1.7593438793739604e-26
SEC14L1,11.288964687319783,5.143813662991233e-27,0.41205273148146837,1.8803252366827164e-26
ROBLD3,-11.293335237611675,5.178010366591973e-27,-0.5678864530423144,1.8923765870974745e-26
KCNMA1,11.080941985639477,5.209141490346259e-27,0.9238240271163942,1.903302124510236e-26
MAMLD1,11.050063577875878,5.301530687378188e-27,0.6740816038359956,1.936599477901826e-26
SYNGR2,-11.228652558874819,5.325870452893911e-27,-0.48512073148148893,1.9450291120305396e-26
MUM1,11.180590706374483,5.407118647255871e-27,0.39462228439152547,1.9742330047853606e-26
C22orf34,11.268114339767527,5.6213785638611956e-27,0.8175577996031771,2.0519764283492373e-26
COBLL1,11.232580948100354,5.7246181361017804e-27,0.6977589080687885,2.0891667561402966e-26
DUSP7,11.07118087671931,6.076460138693319e-27,0.34702277116401703,2.2170439989445744e-26
SLC7A11,-11.162038444749296,6.263924105508561e-27,-0.972859117724874,2.284900247631256e-26
ZNF22,11.0339715604911,6.3618627130133975e-27,0.4235737076719843,2.3200757980167522e-26
C8orf4,11.106385233242436,6.403147983736005e-27,1.0565876541005323,2.3345789605868642e-26
AP2S1,-11.223634225128597,6.53462744629641e-27,-0.44194131349205357,2.3819521493992854e-26
